pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
2odk,pMPNN,90.46019607843134,89.77000000000001,-0.6901960784313275
2ohw,pMPNN,68.79703125,38.9653125,-39.83171875
2oi8,pMPNN,72.90653846153847,61.48892307692308,-11.417615384615395
2ok5,pMPNN,86.48867647058826,54.326323529411766,-42.16235294117649
2onk,pMPNN,64.23320833333332,52.92154166666668,-11.311666666666646
2ooi,pMPNN,77.14099378881988,48.97130434782608,-38.16968944099381
2ot2,pMPNN,77.72966666666667,48.18955555555556,-39.540111111111116
2p3w,pMPNN,87.5386,85.44330000000002,-2.0952999999999804
2p7j,pMPNN,78.88182795698924,57.74924731182796,-31.132580645161283
2p8t,pMPNN,95.41826086956524,94.52724637681158,-0.8910144927536692
2pg4,pMPNN,89.87717391304346,88.11619565217391,-1.7609782608695497
2phn,pMPNN,51.61,50.079112903225806,-1.5308870967741939
2ppx,pMPNN,91.1408064516129,80.59709677419356,-10.543709677419344
2q22,pMPNN,93.3342748091603,91.53099236641222,-1.8032824427480847
2q3w,pMPNN,90.1894495412844,89.80091743119267,-0.38853211009173094
2q7f,pMPNN,96.61784615384614,96.0443076923077,-0.5735384615384476
2q9q,pMPNN,80.98605263157893,55.39517543859648,-35.59087719298245
2q9u,pMPNN,55.28244,38.04344,-27.239000000000004
2qdd,pMPNN,67.22182572614108,62.84941908713692,-4.372406639004154
2qi2,pMPNN,89.41923076923078,86.86786324786323,-2.5513675213675526
2qkg,pMPNN,58.3807619047619,53.60661904761904,-4.774142857142856
