pdb_id,model,plddt,delta_to_best
1edq,1,59.36321100917432,-0.7376146788990781
1edq,3,54.943027522935786,-5.1577981651376135
1edq,2,60.1008256880734,0.0
1edq,4,49.1102752293578,-10.990550458715596
1edq,5,57.25220183486238,-2.8486238532110164
1snn,5,31.572100456621,-6.393652968036534
1snn,1,37.965753424657535,0.0
1snn,4,32.94360730593607,-5.022146118721466
1snn,3,31.821780821917805,-6.14397260273973
1snn,2,37.73913242009132,-0.22662100456621204
4gcv,4,54.86650684931507,0.0
4gcv,2,52.52041095890411,-2.3460958904109646
4gcv,5,48.72034246575343,-6.14616438356164
4gcv,3,54.3077397260274,-0.558767123287673
4gcv,1,50.49349315068493,-4.373013698630146
2i4f,2,58.2182,-13.106500000000004
2i4f,4,71.3247,0.0
2i4f,1,53.9089,-17.415800000000004
2i4f,5,71.046,-0.2787000000000006
2i4f,3,63.9024,-7.422300000000007
3lnn,5,49.61934693877552,-2.3087755102040717
3lnn,1,47.05873469387755,-4.869387755102046
3lnn,3,45.20318367346938,-6.724938775510211
3lnn,4,47.96502040816327,-3.963102040816324
3lnn,2,51.92812244897959,0.0
1gxm,4,31.44386996904025,-1.4953250773993787
1gxm,3,26.00349845201238,-6.935696594427249
1gxm,5,25.4656346749226,-7.473560371517028
1gxm,1,29.23513931888545,-3.7040557275541772
1gxm,2,32.93919504643963,0.0
6fzv,5,53.05364406779661,-11.131440677966097
6fzv,3,49.87194915254238,-14.31313559322033
6fzv,4,55.73949152542373,-8.445593220338978
6fzv,2,57.129830508474576,-7.055254237288132
6fzv,1,64.18508474576271,0.0
2myg,3,68.17957894736844,0.0
2myg,2,65.8941052631579,-2.285473684210544
2myg,5,59.34978947368421,-8.82978947368423
2myg,4,62.542000000000016,-5.637578947368425
2myg,1,51.26494736842104,-16.9146315789474
7kn8,5,32.704236760124616,-3.1749844236760083
7kn8,4,33.06361370716511,-2.8156074766355133
7kn8,3,33.36794392523365,-2.5112772585669774
7kn8,2,35.879221183800624,0.0
7kn8,1,33.67311526479751,-2.2061059190031145
3c07,4,59.844109589041096,0.0
3c07,1,55.87116438356165,-3.972945205479448
3c07,5,54.34506849315068,-5.499041095890419
3c07,2,49.015273972602735,-10.828835616438361
3c07,3,56.57767123287671,-3.266438356164386
6mdh,3,54.95304347826087,-2.7949275362318957
6mdh,4,47.475507246376814,-10.272463768115948
6mdh,1,52.0068115942029,-5.741159420289861
6mdh,5,41.48057971014493,-16.267391304347832
6mdh,2,57.74797101449276,0.0
1okc,5,26.8822602739726,-9.394212328767122
1okc,4,31.707465753424657,-4.569006849315066
1okc,2,36.27647260273972,0.0
1okc,1,29.0302397260274,-7.246232876712323
1okc,3,24.05215753424657,-12.224315068493151
3m8o,1,50.77203883495145,-24.506601941747583
3m8o,4,72.85776699029127,-2.4208737864077676
3m8o,2,75.27864077669904,0.0
3m8o,3,68.76038834951456,-6.518252427184478
3m8o,5,71.88524271844659,-3.393398058252444
1zch,4,38.97771084337349,-0.04959839357429985
1zch,1,35.152811244979915,-3.8744979919678713
1zch,3,37.70008032128514,-1.3272289156626442
1zch,5,31.967108433734943,-7.060200803212844
1zch,2,39.02730923694779,0.0
1jfi,1,51.90688888888889,-9.900222222222219
1jfi,4,51.86103703703704,-9.946074074074069
1jfi,2,55.6588148148148,-6.148296296296316
1jfi,5,51.72355555555556,-10.083555555555549
1jfi,3,61.80711111111111,0.0
1hzf,2,42.55751533742331,0.0
1hzf,3,33.83266871165644,-8.724846625766872
1hzf,1,37.40631901840491,-5.151196319018403
1hzf,4,42.22125766871166,-0.33625766871165297
1hzf,5,38.61134969325153,-3.946165644171778
3pve,5,29.76612021857924,-5.2307650273223985
3pve,1,31.767486338797813,-3.2293989071038247
3pve,4,32.097759562841524,-2.899125683060113
3pve,3,28.740327868852457,-6.25655737704918
3pve,2,34.99688524590164,0.0
1rp3,5,68.41285714285713,-5.700129870129885
1rp3,2,67.00844155844155,-7.104545454545473
1rp3,4,67.45012987012987,-6.662857142857149
1rp3,3,74.11298701298702,0.0
1rp3,1,68.70259740259739,-5.410389610389629
2b5g,5,34.31761904761905,-8.546785714285718
2b5g,1,35.824464285714285,-7.0399404761904805
2b5g,2,37.81172619047619,-5.052678571428572
2b5g,4,42.864404761904765,0.0
2b5g,3,38.91226190476191,-3.952142857142853
3e9d,5,32.4648,-8.48404
3e9d,4,34.113879999999995,-6.834960000000002
3e9d,2,40.94884,0.0
3e9d,3,30.93752,-10.011319999999998
3e9d,1,35.66288,-5.285959999999996
2ffy,5,31.17865921787709,-4.287597765363131
2ffy,2,35.46625698324022,0.0
2ffy,1,32.37689944134078,-3.089357541899439
2ffy,3,31.246061452513967,-4.220195530726254
2ffy,4,34.2895810055866,-1.1766759776536233
2q7f,3,56.676307692307695,-36.43323076923077
2q7f,1,57.0536923076923,-36.05584615384616
2q7f,5,93.10953846153846,0.0
2q7f,4,78.40738461538463,-14.702153846153834
2q7f,2,56.48815384615386,-36.621384615384606
2nn6,1,47.05474576271187,-2.642457627118631
2nn6,4,49.6972033898305,0.0
2nn6,2,41.02779661016948,-8.669406779661017
2nn6,3,38.96279661016951,-10.734406779660986
2nn6,5,39.90872881355932,-9.788474576271177
1ryp,2,34.44107883817428,-4.280041493775926
1ryp,5,36.93029045643153,-1.790829875518675
1ryp,4,31.89141078838174,-6.8297095435684625
