,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
HBI_b_15,53,1.6984745264053345,1.5537450313568115,0.0095190908759832,0.3078277111053467,1.0,7.537886619567871,0.0,1.5537450313568115,[0],3.4900583401322365,0.9237934127449988,0.7854389548301697,3,295.71051025390625,1.0,0.0,1.0,0.934821367263794,1.0,0.957,0.957,0.6943832492842541,HBI_b_15,WSB
HBI_b_16,54,1.4857960939407349,1.7388218641281128,0.0094334930181503,0.3383097350597381,1.0,8.068113327026367,0.0,1.7388218641281128,[0],3.143700808286667,0.9408713653683662,0.8281102180480957,3,295.71051025390625,1.0,0.0,1.0,0.963734209537506,1.0,0.9465,0.9465,0.7374609237835305,HBI_b_16,WSB
HBI_b_17,55,1.555787444114685,1.6543852090835571,0.0064885630272328,0.2963707745075226,1.0,7.597988128662109,0.0,1.6543852090835571,[0],3.250046327710152,0.9373264983296394,0.8021135330200195,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8262849450111389,1.0,0.9591,0.9591,0.72109192035948,HBI_b_17,WSB
HBI_b_19,56,1.7655152082443235,1.495847225189209,0.0093066357076168,0.2843745648860931,1.0,7.402525901794434,0.0,1.495847225189209,[0],4.18141508102417,0.8977110683917999,0.775052547454834,3,295.71051025390625,1.0,0.0,1.0,0.7617975473403931,1.0,0.9674,0.9674,0.673091042471269,HBI_b_19,WSB
HBI_b_20,57,1.702346682548523,1.6566017866134644,0.0087999887764453,0.3284848034381866,1.0,7.552922248840332,0.0,1.6566017866134644,[0],3.642053760588169,0.9195205047726632,0.790486216545105,3,295.71051025390625,1.0,0.0,1.0,0.902929961681366,1.0,0.952,0.952,0.691978607180425,HBI_b_20,WSB
HBI_b_21,58,1.6621918678283691,1.73884117603302,0.0097788795828819,0.3743870258331299,1.0,7.379486083984375,0.0,1.73884117603302,[0],3.915054008364677,0.906359001994133,0.7826396226882935,3,295.71051025390625,1.0,0.0,1.0,1.077436089515686,1.0,0.9378,0.9378,0.665230743872227,HBI_b_21,WSB
HBI_b_22,59,1.5816912651062012,1.6501084566116333,0.0097669493407011,0.2930581569671631,1.0,7.8739542961120605,0.0,1.6501084566116333,[0],3.338185101747513,0.93405369669199,0.8212954998016357,3,295.71051025390625,1.0,0.0,1.0,1.014760136604309,1.0,0.9484,0.9484,0.7275499782266367,HBI_b_22,WSB
HBI_b_23,60,1.58494770526886,1.6132850646972656,0.0064734765328466,0.2897716760635376,1.0,7.503744125366211,0.0,1.6132850646972656,[0],3.660262815654278,0.9209329038858414,0.8092681169509888,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8034855723381042,1.0,0.9618,0.9618,0.7168118784338033,HBI_b_23,WSB
HBI_b_25,61,1.7819602489471436,1.5881547927856443,0.0087075736373662,0.3141267895698547,1.0,7.346435546875,0.0,1.5881547927856443,[0],4.167057648301125,0.8960383385419846,0.7574173212051392,3,295.71051025390625,1.0,0.0,1.0,0.9326570630073548,1.0,0.9536,0.9536,0.647184440020867,HBI_b_25,WSB
HBI_b_26,62,1.6466467380523682,1.639500617980957,0.0080661363899707,0.3250598013401031,1.0,7.795526504516602,0.0,1.639500617980957,[0],3.591900445520878,0.9227700456976892,0.7857469320297241,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.965170681476593,1.0,0.948,0.948,0.6873604182923413,HBI_b_26,WSB
